City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Country,Current Description
274,Andenes,69.3143,16.1194,53.58,94,100,9.22,NO,overcast clouds
275,Dayong,25.0209,118.2898,90.16,66,100,1.54,CN,overcast clouds
276,Tsagan Aman,47.5639,46.7218,71.94,68,31,6.89,RU,light rain
277,Bengkulu,-3.8004,102.2655,80.74,78,40,2.19,ID,scattered clouds
278,Saint Pete Beach,27.7253,-82.7412,87.01,67,8,4.0,US,clear sky
279,Thunder Bay,48.4001,-89.3168,67.98,45,20,8.05,CA,few clouds
280,Turinsk,58.0458,63.696,69.96,81,11,4.07,RU,few clouds
281,Baruun-Urt,46.6806,113.2792,74.82,38,14,9.62,MN,few clouds
282,Bendigo,-36.7667,144.2833,54.86,55,5,5.01,AU,clear sky
283,Fairbanks,64.8378,-147.7164,65.01,54,100,4.0,US,overcast clouds
284,Camacha,33.0833,-16.3333,63.82,77,20,1.14,PT,few clouds
285,Luderitz,-26.6481,15.1594,55.18,55,0,13.98,NA,clear sky
286,Bud,39.447,-86.1758,73.92,96,36,6.2,US,scattered clouds
287,Turbat,26.0023,63.044,87.49,77,21,0.85,PK,few clouds
288,Ust-Kuyga,70.0167,135.6,59.61,56,96,7.52,RU,overcast clouds
289,Namatanai,-3.6667,152.4333,83.03,77,98,7.14,PG,light rain
290,Bambous Virieux,-20.3428,57.7575,68.25,83,75,12.66,MU,light intensity shower rain
291,Geraldton,-28.7667,114.6,63.01,94,100,14.97,AU,overcast clouds
292,Maracas,-13.4411,-40.4308,58.89,81,35,8.68,BR,scattered clouds
293,Dicabisagan,17.0818,122.4157,89.4,65,87,9.22,PH,overcast clouds
294,Tromso,69.6496,18.957,54.37,87,100,10.36,NO,overcast clouds
295,Sweetwater,25.7634,-80.3731,85.01,80,73,2.08,US,broken clouds
296,Bagotville,-28.9833,153.4167,62.64,64,72,15.97,AU,broken clouds
297,Dalvik,65.9702,-18.5286,49.93,86,100,3.74,IS,overcast clouds
298,Nemuro,43.3236,145.575,60.93,93,100,9.06,JP,overcast clouds
299,Ofunato,39.0717,141.7167,72.14,79,99,4.94,JP,overcast clouds
300,Chimore,-16.9833,-65.1333,65.52,95,90,1.7,BO,overcast clouds
301,Sechelt,49.4664,-123.7694,74.44,54,74,4.09,CA,broken clouds
302,Salinas,36.6777,-121.6555,77.0,71,75,8.05,US,broken clouds
303,Husavik,66.0449,-17.3389,47.73,71,100,7.54,IS,overcast clouds
304,Malanje,-9.5402,16.341,60.46,41,0,1.68,AO,clear sky
305,Gallup,35.5281,-108.7426,77.47,36,37,12.24,US,scattered clouds
306,Chimbote,-9.0853,-78.5783,60.87,85,74,12.91,PE,broken clouds
307,Gravdal,68.1214,13.5031,51.66,91,100,7.18,NO,overcast clouds
308,Palmer,42.1584,-72.3287,75.2,76,28,1.5,US,scattered clouds
309,Ternate,0.8,127.4,81.54,76,92,2.04,ID,overcast clouds
